"Date","Android","iOS","Windows","Series 40","SymbianOS","Samsung","MeeGo","Linux","Sailfish","Unknown","Nokia Unknown","BlackBerry OS","Playstation","Maemo 5","Other"
2012,30.49,47.3,11.43,1.25,7.5,0.1,1,0.26,0,0.15,0,0.02,0.04,0.21,0.26
2013,28.48,41.44,13.7,13.08,2.45,0.04,0.43,0.14,0,0.1,0,0.02,0.02,0.04,0.06
2014,43.66,40.91,14.56,0.19,0.39,0.01,0.08,0.04,0.08,0.03,0.01,0.01,0.01,0,0.01
2015,45.47,42.12,11.81,0.09,0.19,0.01,0.03,0.05,0.12,0.01,0.04,0.03,0.01,0,0.01
2016,50.72,40.84,8.02,0.04,0.06,0.06,0.01,0.07,0.07,0.02,0.05,0.03,0.01,0,0.01
2017,60.32,35.54,3.78,0.05,0.02,0.15,0,0.05,0,0.03,0.04,0.02,0.01,0,0
2018,62.13,36.06,1.46,0.06,0.01,0.16,0,0.03,0,0.02,0.05,0.01,0.01,0,0
2019,67.12,32.19,0.43,0.04,0,0.16,0,0.01,0,0.01,0.04,0.01,0,0,0
2020,69.2,30.48,0.09,0.01,0,0.17,0,0,0,0.01,0.03,0,0,0,0.01
2021,64.27,35.12,0.08,0,0,0.45,0,0.01,0,0.01,0.04,0,0,0,0.01
2022,62.38,36.94,0.05,0,0,0.48,0,0.01,0,0.08,0.02,0.01,0.02,0,0.01
2023,64.07,35.47,0.03,0,0,0.34,0,0.02,0,0.02,0.01,0,0.01,0,0.02
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
