"Date","Android","iOS","Unknown","Windows","Series 40","Nokia Unknown","SymbianOS","BlackBerry OS","Samsung","Linux","LG","Sony Ericsson","Motorola","Playstation","bada","Other"
2012,17.13,25.35,31.7,0.5,12.76,0,7.13,1,2.17,0.1,0.15,1.25,0.52,0.03,0.13,0.08
2013,33.98,21.6,28.91,1.55,8.61,0.04,2.7,0.56,0.4,0.34,0.51,0.39,0.29,0.01,0.07,0.03
2014,54.73,18.17,14.61,2.94,5.55,0.45,1.23,0.54,0.41,0.6,0.46,0.1,0.1,0.04,0.04,0.03
2015,70.42,14.44,6.22,4.34,1.32,1.73,0.41,0.43,0.1,0.23,0.17,0.07,0.02,0.05,0.02,0.02
2016,75.99,11.57,3.99,5.36,0.62,1.81,0.14,0.21,0.06,0.09,0.06,0.03,0.01,0.03,0,0.02
2017,83.73,9.36,3.31,1.97,0.21,1.13,0.04,0.07,0.05,0.04,0.02,0,0,0.01,0,0.03
2018,86.08,12.25,0.63,0.68,0.04,0.19,0.02,0.03,0.03,0.03,0,0,0,0.01,0,0.01
2019,84.63,14.98,0.04,0.19,0.01,0.07,0,0.01,0.04,0.02,0,0,0,0.02,0,0
2020,91.41,8.45,0.04,0.04,0,0,0,0,0.05,0,0,0,0,0,0,0
2021,90.44,9.38,0.01,0.02,0,0,0,0,0.14,0,0,0,0,0,0,0
2022,88.39,11.27,0.02,0.01,0,0,0,0,0.3,0,0,0,0,0,0,0
2023,87.22,12.59,0,0.01,0,0,0,0,0.17,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
