"Date","Windows","OS X","Linux","iOS","Unknown","Chrome OS","Android","Playstation","Other"
2009,91.65,2.95,4.23,0,1.16,0,0,0.01,0
2010,95.2,4.07,0.4,0.16,0.15,0,0,0.03,0
2011,93.07,4.41,0.39,2.02,0.02,0,0.02,0.06,0
2012,93.33,3.79,0.51,2.18,0.04,0,0.1,0.02,0.02
2013,93.2,5.54,0.85,0,0.17,0,0.23,0,0
2014,94.21,4.86,0.74,0,0.14,0.01,0.04,0,0
2015,88.52,9.38,1.66,0,0.38,0.04,0,0,0.03
2016,83.1,12.94,1.46,0,2.39,0.07,0,0,0.04
2017,82.16,15.7,1.19,0,0.72,0.24,0,0,0
2018,85.06,10.64,0.22,0,2.85,1.23,0,0,0
2019,77.65,14.16,1.27,0,6.46,0.45,0,0,0
2020,57.21,39.27,0.53,0,2.51,0.48,0,0,0
2021,83.67,12.89,0.29,0,2.66,0.49,0,0,0
2022,75.97,19.02,0.7,0,3.74,0.58,0,0,0
2023,85.66,11.36,0.77,0,1.72,0.5,0,0,0
