"Date","Android","iOS","Linux","BlackBerry OS","Windows","SymbianOS","Samsung","Series 40","Unknown","bada","Other"
2012,19.07,77.34,0.48,1.31,0.5,0.17,0.04,0.11,0.31,0.66,0
2013,17.47,72.93,1.7,1.3,1.83,3.34,0,0.37,0.47,0.31,0.29
2014,32.39,62.47,4.01,0.29,0.67,0.15,0,0.01,0.01,0,0.01
2015,28.4,64.9,2.52,2.47,1.44,0.03,0,0.22,0,0,0.01
2016,38.06,59.77,0.34,1.05,0.72,0.01,0,0,0.02,0,0.03
2017,43.35,56.06,0.02,0.01,0.53,0,0.03,0,0,0,0.01
2018,43.75,55.88,0.1,0,0.26,0.02,0,0,0,0,0
2019,49.62,50.07,0,0,0.28,0,0.01,0,0,0,0.03
2020,70.36,29.58,0,0,0.05,0,0.01,0,0,0,0
2021,70.58,29.2,0,0,0.02,0,0.19,0,0,0,0
2022,76.2,23.65,0,0,0.01,0,0.15,0,0,0,0
2023,72.06,27.81,0,0,0,0,0.13,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0
