"Date","iOS","Android","Windows","Samsung","BlackBerry OS","SymbianOS","Series 40","Unknown","Other"
2012,76.62,20.4,1.51,0.3,0.34,0.42,0.18,0.01,0.21
2013,79.41,17.47,2.45,0.16,0.19,0.14,0.09,0.02,0.07
2014,81.11,16.43,2.08,0.12,0.18,0.02,0.02,0,0.03
2015,77.7,19.28,2.66,0.09,0.16,0.02,0.01,0.04,0.04
2016,77.62,19.94,2.24,0.09,0.03,0,0,0.04,0.02
2017,74.93,23.41,1.56,0.05,0.01,0,0,0.03,0.01
2018,75.22,24.09,0.64,0.04,0.01,0,0,0,0
2019,71.2,28.55,0.2,0.05,0.01,0,0,0,0
2020,65.35,34.5,0.08,0.07,0,0,0,0,0
2021,65.58,34.03,0.04,0.35,0,0,0,0,0
2022,92.21,7.7,0,0.08,0,0,0,0,0
2023,92.59,7.35,0,0.06,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0
