"Date","Windows","OS X","Linux","Unknown","iOS","Chrome OS","Android","Playstation","Other"
2009,91.95,5.84,1.94,0.15,0,0,0,0.11,0.02
2010,89.82,8.06,1.7,0.09,0.13,0,0,0.17,0.02
2011,87.66,9.59,1.73,0.05,0.69,0,0.06,0.19,0.02
2012,86.27,10.62,1.65,0.04,1.08,0,0.2,0.1,0.03
2013,87.12,10.77,1.68,0.03,0,0.01,0.38,0,0.01
2014,84.42,12.21,2.32,0.76,0,0.14,0.14,0,0
2015,81.2,14.91,2.71,0.99,0,0.18,0,0,0.01
2016,79.31,16.15,1.97,2.37,0,0.2,0,0,0.01
2017,78.04,18.29,2.16,1.26,0,0.24,0,0,0.01
2018,76.52,18.73,1.82,2.68,0,0.24,0,0,0.01
2019,73.87,20.57,1.97,3.34,0,0.25,0,0,0
2020,72.69,23.29,2.04,1.61,0,0.37,0,0,0
2021,75.15,18.81,2.29,3.06,0,0.69,0,0,0.01
2022,75.54,18.39,2.55,2.63,0,0.86,0,0,0.02
2023,71.25,20.29,2.96,4.65,0,0.82,0,0,0.05
