"Date","Android","iOS","Windows","BlackBerry OS","Samsung","Unknown","bada","Playstation","Linux","Series 40","SymbianOS","Nintendo 3DS","Nokia Unknown","Nintendo","LG","Other"
2012,32.5,60.75,1.23,0.85,0.36,0.17,1.4,0.58,0.09,0.36,0.71,0.57,0,0.21,0.01,0.23
2013,37.58,56.73,2.12,0.68,0.16,0.17,0.89,0.29,0.19,0.3,0.3,0.3,0,0.15,0.05,0.11
2014,49.05,46.18,3.38,0.43,0.05,0.1,0.19,0.17,0.13,0.12,0.07,0.04,0,0.03,0.03,0.03
2015,50.66,44.32,3.75,0.38,0.04,0.24,0.07,0.15,0.15,0.06,0.04,0.04,0.06,0.01,0.02,0.02
2016,55.71,40.75,2.59,0.2,0.07,0.34,0.02,0.1,0.07,0.03,0.02,0.02,0.07,0,0.01,0.01
2017,56.28,41.58,1.47,0.11,0.07,0.29,0.01,0.05,0.06,0.01,0.01,0.01,0.02,0,0.01,0.01
2018,61.49,37.32,0.64,0.05,0.21,0.21,0.01,0.02,0.01,0.01,0,0.02,0.01,0,0.01,0
2019,68.06,31.29,0.25,0.04,0.21,0.09,0,0.01,0.02,0.01,0.01,0.01,0,0,0,0.01
2020,68.59,31.06,0.08,0.03,0.14,0.06,0,0.01,0.01,0,0.01,0,0,0,0,0
2021,65.05,34.43,0.03,0.01,0.45,0.02,0,0.01,0.01,0,0,0,0,0,0,0
2022,63.58,35.86,0.04,0.01,0.46,0.01,0,0,0.02,0,0,0,0,0,0,0.01
2023,63.63,35.8,0.05,0.01,0.44,0.02,0,0,0.02,0,0,0,0,0,0,0.02
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
