"Date","iOS","Android","BlackBerry OS","Windows","Linux","Unknown","Series 40","Samsung","SymbianOS","Nokia Unknown","Playstation","Sony Ericsson","Nintendo 3DS","Other"
2012,59.01,21.49,16.42,1.25,0.07,0.46,0.29,0.1,0.48,0,0.06,0.08,0.1,0.19
2013,60.51,23.53,10.72,1.86,1.63,0.47,0.55,0.16,0.33,0.02,0.03,0.04,0.05,0.1
2014,56.8,29.84,6.41,2.08,1.92,0.7,1.23,0.39,0.39,0.09,0.06,0.04,0.01,0.05
2015,56.12,34.6,4.55,2.4,1.54,0.44,0.15,0.02,0.04,0.05,0.05,0.01,0.01,0.03
2016,53.24,40.17,3.15,2.2,0.22,0.67,0.05,0.07,0.05,0.1,0.04,0.01,0.01,0.02
2017,55.68,41.42,0.69,1.26,0.06,0.65,0.02,0.1,0.02,0.05,0.02,0,0.01,0.02
2018,56.44,42.07,0.23,0.65,0.03,0.39,0.01,0.12,0.01,0.02,0.02,0.01,0,0.01
2019,54.15,45.31,0.03,0.32,0.02,0.01,0,0.12,0,0.01,0.01,0.01,0,0
2020,51.67,48.09,0.02,0.08,0.01,0.01,0,0.11,0,0,0.01,0,0,0
2021,52.83,46.69,0.01,0.03,0,0.01,0,0.42,0,0,0.01,0,0,0
2022,52.23,47.25,0.01,0.03,0.02,0,0,0.44,0.01,0,0,0,0,0
2023,52.91,46.58,0.01,0.03,0.02,0.01,0,0.44,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
