"Date","Windows","OS X","Unknown","Linux","iOS","Chrome OS","Android","Other"
2009,99.15,0.48,0.11,0.26,0,0,0,0
2010,98.65,0.84,0.05,0.43,0.02,0,0,0
2011,98.85,0.77,0.04,0.25,0.09,0,0.01,0
2012,98.77,0.84,0.04,0.18,0.14,0,0.02,0.01
2013,98,1.52,0.01,0.34,0,0,0.12,0
2014,97.57,1.71,0.25,0.4,0,0.01,0.06,0
2015,97.27,1.65,0.56,0.5,0,0.02,0,0
2016,96.24,1.84,1.29,0.59,0,0.04,0,0
2017,95.57,2.69,0.97,0.71,0,0.05,0,0.01
2018,93.1,3.76,2.33,0.74,0,0.06,0,0
2019,91.53,4.59,2.93,0.83,0,0.12,0,0
2020,91.56,6.11,1.21,1,0,0.11,0,0
2021,90.4,5.17,2.87,1.32,0,0.22,0,0.02
2022,88.99,6.35,2.62,1.71,0,0.29,0,0.04
2023,83.47,8.19,5.13,2.91,0,0.27,0,0.03
