"Date","Android","iOS","Series 40","Windows","Samsung","SymbianOS","Unknown","Nokia Unknown","Sony Ericsson","BlackBerry OS","Linux","bada","LG","Playstation","Other"
2012,20.3,34.94,15.28,0.91,2.25,17.23,5.14,0,2.24,0.52,0.41,0.48,0.05,0.04,0.22
2013,28.51,26.4,18.83,1.46,4.21,9.91,6.76,0.09,2.38,0.49,0.39,0.18,0.25,0.01,0.14
2014,48.8,28.7,8.85,3.22,1.95,3.6,2.69,0.47,0.7,0.36,0.26,0.13,0.17,0.03,0.08
2015,64.69,21.94,4.57,2.82,0.89,1.59,0.92,1.4,0.18,0.25,0.56,0.08,0.08,0.01,0.02
2016,70.4,21.69,1.97,2.37,0.85,0.6,0.42,1.05,0.05,0.28,0.23,0.04,0.02,0.01,0.01
2017,73.1,22.57,0.65,1.59,0.65,0.26,0.28,0.44,0.02,0.31,0.05,0.02,0.01,0.06,0.01
2018,73.06,24.97,0.17,0.91,0.39,0.06,0.07,0.18,0,0.09,0.03,0.01,0,0.04,0
2019,78.37,20.08,0.08,0.6,0.64,0.04,0.02,0.08,0,0.03,0.03,0.01,0,0,0.01
2020,77.9,20.91,0.01,0.2,0.89,0.01,0.01,0.02,0,0.02,0.01,0,0,0,0
2021,73.23,26.06,0,0.05,0.63,0,0.01,0,0,0,0,0,0,0,0
2022,73.97,25.08,0,0.03,0.91,0,0,0,0,0.01,0,0,0,0,0
2023,74.54,24.35,0,0.03,1.04,0,0.01,0,0,0.01,0.01,0,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
