"Date","Windows","Unknown","OS X","Linux","Chrome OS","iOS","Android","Other"
2009,97.7,0.25,1.09,0.95,0,0,0,0.01
2010,97.16,0.07,1.78,0.9,0,0.07,0,0.01
2011,95.89,0.09,2.61,0.8,0,0.5,0.09,0.02
2012,95.49,0.15,2.82,0.56,0,0.76,0.17,0.04
2013,95.54,0.07,3.52,0.68,0.02,0,0.18,0
2014,94.23,0.27,4.58,0.76,0.1,0,0.06,0
2015,92.15,1.82,4.88,1.01,0.14,0,0,0
2016,83.86,8.71,6.32,0.93,0.18,0,0,0
2017,86.39,5.17,7.35,0.88,0.21,0,0,0
2018,80.63,9.49,8.61,0.76,0.51,0,0,0.01
2019,73.52,15.26,9.79,0.99,0.44,0,0,0
2020,76.73,10.31,11.01,1.53,0.42,0,0,0
2021,71.42,20.01,6.51,1.22,0.84,0,0,0
2022,71.51,18.44,7.33,1.5,1.21,0,0,0.01
2023,70.75,19.67,6.73,1.49,1.36,0,0,0
