"Date","Android","iOS","Unknown","Series 40","Windows","Linux","SymbianOS","Nokia Unknown","Samsung","Sony Ericsson","BlackBerry OS","LG","Tizen","bada","Playstation","Other"
2012,17.23,8.61,14.53,27.53,2.19,0.15,13.33,0,5.09,8.79,1.47,0.52,0,0.12,0.03,0.41
2013,29.6,5.73,15.55,27.36,1.06,0.46,7.5,0.14,4.12,5.53,1.2,1.52,0,0.08,0.01,0.14
2014,50.46,6.39,8.86,19.27,2.31,0.81,3.63,1.05,2.58,2.25,1.17,1.12,0,0.05,0.02,0.05
2015,66.44,4.81,5.32,9.41,3.42,4.24,1.28,2.44,0.74,0.41,1.07,0.35,0,0.03,0.01,0.02
2016,75.42,4.37,4.14,4.36,4.26,3.65,0.58,1.87,0.36,0.13,0.61,0.21,0.01,0.01,0.01,0.01
2017,76.68,6.38,8.84,2.03,2.73,0.9,0.25,1.02,0.26,0.04,0.34,0.23,0.29,0.01,0.01,0.01
2018,81.2,9.14,5.85,1.06,1.33,0.33,0.13,0.4,0.14,0.02,0.15,0.1,0.12,0,0.03,0.01
2019,84.04,10.1,2.68,1.15,0.91,0.24,0.12,0.33,0.12,0.02,0.13,0.04,0.11,0,0.01,0.02
2020,84.74,12.65,1.34,0.27,0.5,0.11,0.03,0.07,0.08,0.01,0.1,0.01,0.07,0,0.01,0.02
2021,78.97,19.26,1.28,0.11,0.07,0.09,0.02,0.03,0.1,0,0.04,0,0.01,0,0,0.02
2022,75.72,22.83,1.08,0.07,0.04,0.05,0.01,0.02,0.12,0.01,0.03,0,0.01,0,0,0.01
2023,76.3,22.3,0.96,0.1,0.05,0.05,0.01,0.04,0.12,0,0.03,0,0.02,0,0,0.02
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
