"Date","Windows","OS X","Linux","Unknown","iOS","Chrome OS","Playstation","Android","Other"
2009,94.5,4.32,0.93,0.14,0,0,0.11,0,0.01
2010,90.58,6.82,2.07,0.12,0.13,0,0.26,0,0.01
2011,84.66,11.99,1.9,0.02,1.14,0,0.22,0.06,0
2012,83.28,12.65,1.29,0.78,1.74,0,0.09,0.16,0.01
2013,80.29,17.79,1.61,0.02,0,0,0,0.29,0
2014,78.14,20.29,1.27,0.16,0,0.07,0,0.08,0
2015,79.63,17.72,1.88,0.39,0,0.37,0,0,0
2016,78.17,19.15,1.38,0.95,0,0.33,0,0,0
2017,68.89,26.07,4.2,0.52,0,0.27,0,0,0.05
2018,71.24,24.49,0.96,1.91,0,1.37,0,0,0.02
2019,65.39,31.35,0.85,2.11,0,0.27,0,0,0.02
2020,61.57,36.71,0.41,1.05,0,0.26,0,0,0
2021,58.6,38.16,1.34,1.35,0,0.55,0,0,0
2022,61.25,34.59,2.32,1.65,0,0.19,0,0,0
2023,65.87,23.33,6.44,3.46,0,0.77,0,0,0.14
