"Date","iOS","Android","Unknown","Windows","Series 40","SymbianOS","Sony Ericsson","Samsung","Linux","Nokia Unknown","LG","Playstation","BlackBerry OS","MeeGo","Other"
2012,68.8,27.01,0.35,0.88,0.4,1.47,0.59,0.16,0.1,0,0,0,0.03,0.06,0.15
2013,51.23,40.68,0.28,1.92,1.96,2.03,1.1,0.27,0.3,0.02,0.08,0,0.02,0.09,0.02
2014,50.81,46.4,0.27,1.19,0.4,0.25,0.31,0.08,0.14,0.03,0.1,0.01,0.01,0.03,0
2015,46.16,49.41,1.53,1.31,0.28,0.1,0.21,0.01,0.33,0.46,0.16,0.02,0.01,0,0
2016,46.87,46.52,3.63,0.83,0.11,0.05,0.08,0.11,0.72,0.84,0.2,0.01,0.01,0,0
2017,46.44,43.52,7.99,0.29,0.06,0.01,0.02,0.49,0.12,0.39,0.38,0.27,0.01,0,0
2018,48.94,43.75,6.63,0.15,0.04,0.02,0,0.38,0.02,0.03,0,0.05,0,0,0
2019,45.07,54.49,0.05,0.03,0.02,0,0,0.31,0.02,0.01,0,0,0,0,0
2020,50.07,49.77,0.01,0.01,0,0,0,0.11,0,0.01,0,0.01,0,0,0.01
2021,54.17,45.42,0,0,0,0,0,0.4,0,0,0,0,0,0,0
2022,56.58,43.02,0,0,0,0,0,0.39,0,0,0,0,0,0,0
2023,40.02,56.2,0.16,1.3,0.14,0.2,0.02,0.6,0.34,0.03,0.05,0,0.52,0.16,0.25
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
