"Date","Windows","Unknown","OS X","Linux","Chrome OS","iOS","Android","Other"
2009,96,0.39,1.47,2.12,0,0,0,0.01
2010,95.48,0.03,1.71,2.71,0,0.06,0,0.01
2011,93.19,0.02,3,3.25,0,0.47,0.08,0.01
2012,93.18,0.02,3.22,2.32,0,1.03,0.2,0.03
2013,93.96,0.01,3.53,2.3,0.01,0,0.18,0
2014,94.09,0.24,3.52,1.93,0.15,0,0.06,0
2015,92.44,0.89,4.48,1.96,0.18,0,0,0.06
2016,88.2,4.02,5.36,1.98,0.34,0,0,0.09
2017,89.84,2.52,5.73,1.61,0.3,0,0,0.01
2018,82.63,4.71,10.62,1.63,0.41,0,0,0.01
2019,80.36,6.63,11.35,1.36,0.3,0,0,0
2020,81.24,6.14,10,2,0.62,0,0,0.01
2021,67.41,20.82,7.8,3.05,0.9,0,0,0.02
2022,64.95,22.48,6.4,1.64,4.49,0,0,0.05
2023,50.08,39.84,6.3,2.03,1.72,0,0,0.03
