"Date","Android","iOS","Unknown","SymbianOS","Series 40","Windows","Samsung","BlackBerry OS","Sony Ericsson","Linux","Nokia Unknown","LG","bada","Playstation","Other"
2012,21.25,16.51,8.01,26.53,10.76,1.28,5.25,4.08,5.07,0.1,0,0.53,0.39,0.03,0.2
2013,26.69,10.72,10.78,16.57,14.61,1.1,7.42,4.37,5.15,0.27,0.02,1.91,0.29,0.01,0.08
2014,46.19,14.73,7.22,7.44,8.11,2.63,4.67,2.68,3.15,0.83,0.28,1.77,0.22,0.03,0.04
2015,63.09,10.84,6.4,2.32,4.02,2.62,1.87,2.14,0.83,2.71,2.04,0.9,0.12,0.06,0.03
2016,68.73,8.62,7.46,1.06,1.83,4.6,1.3,1.01,0.41,1.86,2.26,0.59,0.07,0.15,0.05
2017,71.6,8.08,14.07,0.67,0.55,1.87,0.66,0.34,0.13,0.82,0.92,0.16,0.02,0.08,0.02
2018,81.08,9.99,6.03,0.1,0.21,1.31,0.27,0.1,0.02,0.66,0.08,0.1,0,0.02,0.01
2019,84.66,12.3,0.91,0.09,0.15,1.05,0.17,0.1,0.02,0.46,0.05,0.02,0,0.01,0.01
2020,82,16.69,0.33,0.01,0.11,0.31,0.2,0.05,0.01,0.25,0.01,0,0,0.01,0.02
2021,80.08,19.05,0.13,0,0.01,0.19,0.23,0.19,0.01,0.08,0.01,0,0,0,0.01
2022,77.31,22.02,0.06,0,0.01,0.09,0.26,0.2,0,0.03,0.01,0,0,0,0
2023,74.53,25.17,0.05,0,0.01,0.01,0.17,0,0,0.03,0,0,0,0.02,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
