"Date","Android","Unknown","iOS","Samsung","Series 40","LG","Linux","Windows","SymbianOS","Nokia Unknown","KaiOS","Sony Ericsson","bada","Firefox OS","BlackBerry OS","Other"
2012,23.9,8.99,28.49,8.52,16.03,0.21,0.09,0.97,7.44,0,0,1.14,1.6,0,2.09,0.55
2013,16.39,34.33,3.8,21.54,11.25,5.21,0.21,0.4,3.96,0.04,0,1.86,0.47,0,0.48,0.06
2014,43.33,34.32,7.1,4.19,4.49,2.26,0.37,0.96,1.37,0.12,0,0.58,0.6,0,0.25,0.05
2015,48.74,39.72,3.15,1.35,1.95,0.67,2.39,0.79,0.41,0.38,0,0.13,0.11,0.06,0.12,0.03
2016,62.37,26.01,2.65,1.05,2.82,0.61,1.99,0.95,0.23,0.6,0,0.09,0.19,0.26,0.12,0.05
2017,73.83,20.4,2.41,0.69,1.01,0.4,0.21,0.48,0.04,0.21,0,0.01,0.06,0.19,0.04,0.01
2018,70.29,23.67,2.68,1.46,0.54,0.53,0.19,0.36,0.07,0.12,0,0,0.01,0.06,0.02,0.01
2019,66.58,26.1,3.85,1.71,0.27,0.76,0.16,0.2,0.02,0.3,0.01,0.01,0,0.01,0.02,0
2020,74.09,17.85,6.06,1.04,0.16,0.28,0.13,0.1,0.01,0.18,0.06,0,0,0,0.01,0
2021,81.5,6.59,10.94,0.34,0.06,0.11,0.08,0.03,0,0.01,0.3,0,0,0,0.02,0.01
2022,76.21,7.24,15.99,0.16,0.04,0.05,0.01,0.03,0.01,0.06,0.19,0,0,0,0.01,0
2023,77.69,5.03,16.78,0.12,0.04,0.02,0.01,0.04,0,0.02,0.25,0,0,0,0.01,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
