"Date","Windows","OS X","Unknown","Linux","iOS","Chrome OS","Android","Other"
2009,95.48,1.28,1.27,1.97,0,0,0,0.01
2010,98.04,1.26,0.14,0.39,0.17,0,0,0
2011,96.65,2.26,0.11,0.26,0.62,0,0.09,0.01
2012,95.86,2.49,0.04,0.33,1.08,0,0.17,0.02
2013,95.11,4.02,0.08,0.54,0,0.03,0.21,0
2014,94.99,4.04,0.45,0.4,0,0.02,0.1,0
2015,93.42,4.5,1.3,0.71,0,0.05,0,0.01
2016,89.45,6.53,3.32,0.68,0,0.03,0,0
2017,91.01,6.01,2.26,0.63,0,0.07,0,0.03
2018,87.96,8.94,2.49,0.53,0,0.07,0,0
2019,86.27,9.02,3.97,0.62,0,0.12,0,0
2020,84.92,9.59,4.2,1.08,0,0.2,0,0
2021,87.8,4.17,7.21,0.65,0,0.16,0,0
2022,97.53,0.85,1.36,0.17,0,0.1,0,0
2023,96.62,0.61,2.49,0.17,0,0.11,0,0
