"Date","Android","iOS","Unknown","Series 40","LG","Linux","Samsung","SymbianOS","Windows","Nokia Unknown","BlackBerry OS","KaiOS","Sony Ericsson","bada","Playstation","Firefox OS","Other"
2012,10.95,11.77,15.07,37.92,0.17,0.13,3.84,15.96,1.75,0,0.87,0,0.83,0.55,0.04,0,0.16
2013,28.46,13.54,15.52,24.05,1.4,0.57,5.09,7.41,1.04,0.04,1.47,0,0.71,0.56,0.01,0,0.14
2014,51.38,17.95,11.7,7.61,1.51,0.79,2.8,1.92,2.01,0.25,0.74,0,0.74,0.44,0.13,0,0.05
2015,72.55,7.86,6.69,2.63,0.48,3.18,0.98,0.52,2.28,1.67,0.82,0,0.06,0.14,0.12,0,0.03
2016,76.1,4.34,9.44,1.22,0.27,3.85,0.62,0.26,1.53,1.76,0.45,0,0.01,0.03,0.11,0.01,0.01
2017,76.09,4.37,6.98,0.3,8.95,1.01,0.27,0.06,0.57,1.01,0.23,0,0,0.01,0.15,0.01,0.01
2018,90.95,7.53,0.23,0.16,0.02,0.2,0.06,0.04,0.62,0.01,0.08,0,0,0,0.06,0.01,0.05
2019,88.91,10.14,0.02,0.02,0,0.06,0.12,0.01,0.46,0,0.2,0,0,0,0.04,0,0
2020,86.24,12.97,0.01,0,0,0.04,0.47,0,0.08,0,0.03,0.01,0,0,0.13,0.01,0
2021,81.44,17.88,0.01,0,0,0.02,0.41,0,0.02,0,0.18,0.01,0,0,0.03,0,0
2022,74.53,24.52,0.01,0,0,0.01,0.54,0,0,0,0.33,0.01,0,0,0.03,0.02,0
2023,75,23.67,0.01,0,0,0.04,0.37,0,0,0,0.01,0.87,0,0,0.01,0.03,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
