"Date","Android","iOS","Windows","Samsung","Series 40","SymbianOS","Linux","Unknown","Nokia Unknown","BlackBerry OS","Sony Ericsson","LG","Playstation","Other"
2012,38.93,48.13,1.36,0.76,3.56,3.53,0.16,1.22,0,0.32,1.41,0.03,0.17,0.42
2013,44.88,46.1,1.88,0.34,2.76,2.01,0.22,0.63,0.01,0.22,0.56,0.13,0.11,0.15
2014,55.65,39,2.31,0.12,1.21,0.76,0.14,0.21,0.02,0.18,0.12,0.15,0.09,0.04
2015,66.7,28.83,2.85,0.08,0.49,0.34,0.1,0.14,0.15,0.12,0.04,0.06,0.06,0.02
2016,72.9,22.91,2.9,0.3,0.19,0.15,0.03,0.19,0.16,0.17,0.02,0.04,0.03,0.01
2017,78.52,18.63,1.81,0.57,0.08,0.04,0.02,0.16,0.09,0.04,0.01,0.03,0.02,0.01
2018,79.28,17.84,0.91,1.21,0.03,0.02,0.49,0.11,0.07,0.02,0,0.01,0.01,0
2019,80.54,16.34,0.46,1.54,0.02,0.01,0.92,0.07,0.07,0.01,0,0,0,0
2020,83.2,14.78,0.25,0.98,0,0,0.62,0.11,0.03,0.01,0,0,0,0
2021,81.07,17.36,0.04,1.39,0,0,0,0.1,0.02,0,0,0,0,0
2022,80.31,18.55,0.02,0.99,0,0,0,0.09,0.03,0,0,0,0,0
2023,86.82,12.64,0.01,0.44,0,0,0,0.07,0.01,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
