"Date","Windows","OS X","Unknown","iOS","Linux","Chrome OS","Playstation","Android","","Other"
2009,90.57,7.69,1.15,0,0.29,0,0.27,0,0,0.03
2010,88.44,10.03,0.34,0.23,0.31,0,0.62,0,0,0.03
2011,84.74,12.19,0.23,1.78,0.3,0,0.62,0.11,0,0.03
2012,80.77,14.59,0.15,3.3,0.41,0,0.25,0.4,0.11,0.03
2013,82.09,16.71,0.14,0,0.66,0.06,0,0.32,0,0
2014,78.8,19.61,0.3,0,0.59,0.59,0,0.11,0,0
2015,76.83,20.59,1.29,0,0.54,0.73,0,0,0,0.01
2016,70.91,22.67,4.9,0,0.5,1.02,0,0,0,0.01
2017,70.34,26.04,2.1,0,0.58,0.94,0,0,0,0
2018,69.66,24.21,4.5,0,0.45,1.19,0,0,0,0
2019,68.43,22.99,6.42,0,0.77,1.39,0,0,0,0
2020,61.62,32.92,2.5,0,0.74,2.22,0,0,0,0
2021,64.89,26.88,5.03,0,0.81,2.38,0,0,0,0
2022,65.17,27.73,2.82,0,0.89,3.39,0,0,0,0
2023,61.09,27.53,7.44,0,1.53,2.41,0,0,0,0
