"Date","Windows","Unknown","OS X","Chrome OS","Linux","iOS","Android","Playstation","Other"
2009,98.58,0.19,0.86,0,0.36,0,0,0.01,0
2010,98.28,0.09,1.04,0,0.43,0.1,0,0.06,0
2011,97.69,0.03,1.38,0,0.35,0.44,0.02,0.07,0.02
2012,98.08,0.02,1.08,0,0.18,0.45,0.06,0.02,0.1
2013,97.54,0.04,1.83,0.06,0.4,0,0.14,0,0
2014,96.57,0.47,2.01,0.33,0.52,0,0.11,0,0
2015,93.43,3.05,2.14,0.48,0.88,0,0,0,0
2016,81.43,14.47,2.69,0.65,0.77,0,0,0,0
2017,87.53,7.52,3.09,0.97,0.88,0,0,0,0
2018,83.97,10.34,3.78,1.12,0.78,0,0,0,0
2019,80.85,12,5.24,1.1,0.81,0,0,0,0
2020,79.28,9.49,8.72,1.95,0.57,0,0,0,0
2021,73.58,14.92,7.21,3.51,0.79,0,0,0,0
2022,71.68,14.81,6.16,6.38,0.98,0,0,0,0
2023,69.93,17.1,7.02,4.75,1.2,0,0,0,0
