"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,94.44,5.11,0.2,0.23,0,0,0,0.01
2010,92.7,6.51,0.16,0.31,0.3,0,0,0.02
2011,89.23,8.52,0.15,0.24,1.67,0.17,0,0.02
2012,86.21,10.56,0.12,0.32,2.29,0.48,0,0.03
2013,86.18,12.28,0.06,0.52,0,0.96,0,0
2014,83.59,14.67,0.58,0.93,0,0.2,0.03,0
2015,82.03,15.68,1.23,0.96,0,0,0.07,0.02
2016,76.45,18.92,3.57,0.98,0,0,0.07,0.01
2017,74.73,23.45,1.16,0.57,0,0,0.08,0.01
2018,69.23,26.52,3.46,0.69,0,0,0.09,0.01
2019,66.27,26.84,5.88,0.9,0,0,0.09,0.01
2020,65.74,29.58,2.5,2.07,0,0,0.11,0
2021,68.15,24.33,4.32,3.03,0,0,0.16,0.01
2022,65.23,26.58,3.7,4.32,0,0,0.15,0.01
2023,62.95,26.29,5.6,5.03,0,0,0.12,0.01
