"Date","Android","iOS","Samsung","Windows","Unknown","SymbianOS","BlackBerry OS","WAP","Series 40","Linux","Nokia Unknown","Sony Ericsson","Other"
2012,48.4,46.23,0.21,0.28,0.95,1.51,0.15,0.48,0.99,0.16,0.2,0.28,0.16
2013,54.63,42.18,0.1,0.51,0.32,0.69,0.15,0.75,0.34,0.12,0.06,0.09,0.07
2014,58.03,40.54,0.03,0.56,0.16,0.23,0.12,0.06,0.12,0.07,0.01,0.01,0.04
2015,58.72,39.89,0.01,0.7,0.12,0.06,0.31,0.01,0.03,0.08,0.04,0,0.03
2016,54.29,44.78,0.02,0.41,0.17,0.01,0.13,0,0.02,0.05,0.09,0,0.02
2017,53.22,45.72,0.06,0.16,0.62,0,0.03,0,0.01,0.03,0.13,0,0.02
2018,45.35,54.27,0.18,0.08,0.08,0.01,0.01,0,0,0.01,0.01,0,0.01
2019,44.41,55.1,0.37,0.04,0.07,0,0,0,0,0,0,0,0
2020,50.34,48.33,1.24,0.01,0.07,0,0,0,0,0,0,0,0
2021,48.42,49.26,2.24,0,0.08,0,0,0,0,0,0,0,0
2022,48.77,48.55,2.64,0.01,0.03,0,0,0,0,0,0,0,0
2023,46.31,50.02,3.63,0.01,0.02,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0
