"Date","Android","iOS","BlackBerry OS","Unknown","Windows","Series 40","SymbianOS","Samsung","Linux","Sony Ericsson","LG","Playstation","Nokia Unknown","Motorola","Nintendo 3DS","Other"
2012,27.19,32.02,13.78,7.83,1.24,5.19,6.92,2.24,0.21,2.34,0.18,0.11,0,0.41,0.06,0.28
2013,38.15,32.39,14.39,4.1,1.27,2.67,2.99,1.3,0.35,1.05,0.72,0.17,0,0.21,0.06,0.19
2014,62.45,23.35,7.64,1.16,1.61,1.33,0.76,0.4,0.34,0.2,0.4,0.2,0.03,0.04,0.02,0.06
2015,77.92,14.07,3.42,0.94,1.58,0.6,0.24,0.1,0.58,0.04,0.15,0.2,0.11,0.02,0.02,0.01
2016,82.15,13.27,1.26,0.92,1.2,0.21,0.09,0.06,0.51,0.01,0.07,0.15,0.09,0.01,0.01,0.01
2017,87.7,9.95,0.28,0.85,0.68,0.07,0.02,0.11,0.16,0,0.05,0.08,0.03,0,0,0
2018,86.45,12.33,0.15,0.37,0.29,0.02,0.01,0.23,0.04,0,0.04,0.05,0,0,0.01,0
2019,84.74,14.01,0.03,0.04,0.62,0,0.22,0.28,0.02,0,0,0.02,0,0,0,0
2020,83.6,15.94,0.02,0.01,0.06,0,0,0.32,0.01,0,0,0.04,0,0,0,0
2021,82.6,16.94,0,0.01,0.01,0,0,0.4,0,0,0,0.02,0,0,0,0
2022,80.67,18.86,0,0.01,0,0,0,0.43,0.01,0,0,0.01,0,0,0,0
2023,76.5,22.85,0.01,0.01,0,0,0,0.62,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
