"Date","Android","iOS","Windows","Samsung","Series 40","SymbianOS","Unknown","Sony Ericsson","BlackBerry OS","Nokia Unknown","Linux","LG","bada","Other"
2012,44.55,41.71,1.72,1,3.79,3.12,1.88,1.09,0.32,0,0.33,0.02,0.17,0.3
2013,53.42,36.72,2.07,0.82,2.82,1.55,1.13,0.54,0.21,0.01,0.29,0.26,0.09,0.08
2014,63.53,29.88,3.42,0.37,1.19,0.43,0.34,0.18,0.16,0.04,0.18,0.22,0.03,0.04
2015,70.43,23.32,4.5,0.28,0.56,0.15,0.13,0.06,0.13,0.16,0.15,0.1,0.01,0.03
2016,73.41,20.94,4.12,0.8,0.21,0.1,0.05,0.02,0.09,0.17,0.03,0.03,0,0.01
2017,77.89,18.53,2.91,0.28,0.12,0.03,0.05,0.01,0.07,0.08,0.02,0.01,0,0.01
2018,80.72,17.32,1.42,0.32,0.05,0.04,0.04,0,0.03,0.04,0.01,0.01,0,0
2019,84.85,14.21,0.6,0.24,0.02,0.01,0.02,0,0.01,0.03,0.01,0,0,0.01
2020,87.91,11.76,0.1,0.21,0,0,0.01,0,0,0.01,0,0,0,0
2021,84.03,15.43,0.03,0.5,0,0,0.01,0,0,0,0,0,0,0
2022,82.58,16.94,0.02,0.45,0,0,0,0,0,0,0,0,0,0
2023,79.52,19.7,0.02,0.72,0,0,0,0,0,0,0.01,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
