"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Android","OpenBSD","FreeBSD","Other"
2009,95.82,3.5,0.27,0.39,0,0,0,0,0,0.01
2010,94.12,4.83,0.13,0.79,0,0.11,0,0,0,0.03
2011,92.94,5.79,0.05,0.67,0,0.48,0.05,0,0,0.02
2012,90.11,7.45,0.05,1.13,0,1.06,0.13,0,0,0.06
2013,89.27,8.96,0.12,1.32,0.05,0,0.29,0,0,0
2014,86.87,10.17,0.97,1.41,0.31,0,0.26,0,0,0
2015,80.8,10.37,3.12,4.73,0.51,0,0,0.15,0.17,0.15
2016,77.28,10.19,9.26,2.23,0.93,0,0,0.09,0.01,0.01
2017,79.55,13.13,5.3,1.34,0.67,0,0,0.01,0,0
2018,74.41,15.94,7.83,0.81,1,0,0,0,0,0
2019,80.38,11.68,6.72,0.52,0.69,0,0,0,0,0
2020,69.44,21.24,7.07,0.77,1.48,0,0,0,0,0
2021,66.85,9.2,19.45,1.25,3.25,0,0,0,0,0
2022,59.19,6.84,27.52,1.68,4.77,0,0,0,0,0
2023,42.96,6.19,44.92,1.4,4.54,0,0,0,0,0
