"Date","Android","iOS","Unknown","Samsung","Linux","BlackBerry OS","Windows","LG","Series 40","Nokia Unknown","SymbianOS","Sony Ericsson","Playstation","Motorola","bada","Other"
2012,19.32,31.95,14.72,8.43,0.24,12.31,2.13,0.14,4.09,0,3.54,1.29,0.39,0.32,0.81,0.31
2013,22.35,17.57,26.16,10.82,0.27,9.92,0.88,3.85,4.75,0.06,1.46,1.17,0.09,0.26,0.11,0.27
2014,46.84,12.65,18.8,8.37,0.42,5.47,1.28,2.48,2.3,0.06,0.52,0.51,0.07,0.11,0.05,0.08
2015,69.79,8.74,7.41,1.69,4.86,2.82,2.39,0.48,0.7,0.73,0.23,0.05,0.08,0.01,0.01,0.01
2016,79.52,5.62,5.49,0.36,4.06,1.26,2.22,0.26,0.24,0.77,0.06,0.01,0.1,0,0.01,0.02
2017,81.61,6.35,8.53,0.98,0.44,0.21,0.79,0.65,0.09,0.28,0.01,0,0.04,0,0,0.01
2018,87.93,7.12,3.74,0.08,0.1,0.11,0.6,0.24,0.03,0.01,0.01,0,0.03,0,0,0.01
2019,90.59,9.04,0.06,0.01,0.05,0.04,0.2,0,0,0,0,0,0.01,0,0,0
2020,90.07,9.76,0.01,0.03,0.02,0.03,0.06,0,0,0,0,0,0.01,0,0,0
2021,87.07,12.79,0.01,0.04,0.02,0.03,0.03,0.01,0,0,0,0,0,0,0,0.01
2022,85.24,14.67,0,0.04,0.01,0.02,0.01,0,0,0,0,0,0,0,0,0
2023,86.55,13.36,0,0.04,0.01,0,0.01,0,0,0,0,0,0.01,0,0,0.02
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
