"Date","Android","iOS","Series 40","Unknown","BlackBerry OS","SymbianOS","Nokia Unknown","Samsung","Windows","Sony Ericsson","Linux","Tizen","Brew","LG","bada","Other"
2012,21.26,5.66,24.78,10.5,5.02,24.33,0,2.38,0.5,3.82,0.1,0,1.48,0.01,0.08,0.07
2013,36.43,6.03,23.85,9.65,4.57,14.03,0.1,2.07,0.48,2.03,0.24,0,0.32,0.08,0.06,0.04
2014,55.23,7.55,15.02,5.48,5.51,6.39,1.02,1.26,0.87,0.9,0.52,0,0.08,0.13,0.04,0.01
2015,68.72,4.51,5.5,5.4,8.29,1.92,3.74,0.56,0.63,0.22,0.35,0,0.04,0.09,0.02,0.02
2016,76.13,3.79,2.91,7.06,3.77,0.94,3.86,0.42,0.53,0.1,0.38,0.02,0.01,0.08,0.01,0.01
2017,82.91,3.69,1.28,7.22,1.15,0.47,2.36,0.16,0.3,0.03,0.15,0.18,0,0.06,0,0.01
2018,90.72,4.61,0.45,2.64,0.47,0.2,0.37,0.06,0.21,0.01,0.06,0.18,0,0.02,0,0
2019,93.12,5.83,0.15,0.24,0.11,0.07,0.15,0.04,0.12,0,0.04,0.13,0,0,0,0
2020,91.85,7.91,0.02,0.04,0.02,0.01,0.03,0.06,0.03,0,0.01,0.02,0,0,0,0
2021,91.16,8.65,0.01,0.02,0.01,0,0.01,0.07,0.05,0,0.01,0.01,0,0,0,0
2022,90.37,9.53,0,0.01,0,0,0.01,0.06,0,0,0,0,0,0,0,0
2023,88.17,11.7,0,0.02,0,0,0.01,0.09,0,0,0.01,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
