"Date","iOS","Android","Windows","Series 40","Linux","BlackBerry OS","Samsung","Unknown","SymbianOS","Nokia Unknown","Playstation","Nintendo 3DS","Other"
2012,65.42,29.63,1.54,1.21,0.12,0.61,0.09,0.17,0.71,0,0.06,0.15,0.28
2013,63.38,31.03,2.75,0.88,0.42,0.76,0.05,0.18,0.34,0.01,0.02,0.06,0.12
2014,56.7,38.73,3.08,0.36,0.5,0.31,0.03,0.06,0.08,0.02,0.06,0.02,0.04
2015,51.14,44.98,2.88,0.15,0.42,0.17,0.03,0.03,0.03,0.07,0.06,0.03,0.02
2016,48.4,49.14,1.99,0.06,0.05,0.08,0.06,0.03,0.01,0.11,0.03,0.01,0.01
2017,49.65,49.16,0.89,0.03,0.02,0.05,0.09,0.03,0,0.06,0.02,0.01,0
2018,49,50.25,0.37,0.01,0.01,0.02,0.18,0.05,0,0.07,0.02,0.01,0.02
2019,47.39,52.27,0.13,0.01,0.01,0.01,0.09,0.07,0,0.02,0,0,0
2020,43.6,56.12,0.04,0,0.01,0.01,0.1,0.1,0,0.01,0.01,0,0.01
2021,49.7,49.85,0.01,0.01,0,0.01,0.37,0.03,0,0.01,0,0,0.01
2022,48.23,51.35,0.02,0.01,0,0.01,0.34,0.02,0,0.01,0,0,0.01
2023,46.39,53.2,0.02,0.01,0.01,0.01,0.35,0.01,0,0.01,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0
