"Date","Android","iOS","BlackBerry OS","Windows","Unknown","Samsung","Series 40","SymbianOS","Nokia Unknown","Linux","Other"
2012,39.09,57.54,0.4,0.12,0.15,0.18,0.61,1.42,0,0.08,0.41
2013,40.41,56.98,0.29,0.55,0.12,0.12,0.58,0.65,0,0.1,0.2
2014,36.08,33.69,28.45,0.56,0.53,0.06,0.3,0.17,0.02,0.08,0.06
2015,46.02,30.24,22.13,0.5,0.73,0.01,0.12,0.06,0.08,0.07,0.03
2016,65.28,30.14,3.81,0.34,0.21,0.04,0.05,0.03,0.09,0.02,0.02
2017,73.45,26.25,0.02,0.13,0.03,0.05,0.02,0.01,0.03,0.01,0.01
2018,74.48,25.31,0.01,0.07,0.02,0.05,0.02,0.01,0.02,0,0.01
2019,76.37,23.45,0,0.03,0.01,0.06,0.02,0,0.04,0,0
2020,75.96,23.89,0,0.02,0.01,0.09,0.01,0,0.01,0,0
2021,74.58,25.09,0,0,0.01,0.28,0.01,0,0.01,0,0
2022,73.11,26.52,0,0.01,0,0.34,0.01,0,0.01,0,0
2023,71.43,28.17,0,0.01,0,0.36,0.01,0,0.01,0,0
2009,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0
