"Date","Windows","OS X","Linux","iOS","Chrome OS","Unknown","Playstation","Android","Other"
2009,90.52,7.94,0.92,0,0,0.15,0.44,0,0.03
2010,89.29,9.06,0.89,0.44,0,0.04,0.27,0,0.02
2011,86.64,9.84,0.7,2.52,0,0.02,0.2,0.06,0.02
2012,83.18,10.89,0.96,4.67,0.01,0.02,0.07,0.17,0.03
2013,87.03,11.74,0.98,0,0.02,0.08,0,0.15,0
2014,85.68,13.06,0.86,0,0.23,0.1,0,0.07,0
2015,85.93,11.95,1.11,0,0.63,0.38,0,0,0
2016,84.37,13.04,0.57,0,0.93,1.09,0,0,0
2017,84.21,12.22,0.95,0,2.21,0.41,0,0,0.01
2018,79.21,15.7,1.9,0,1.43,1.76,0,0,0
2019,85.09,11.43,1.41,0,0.79,1.28,0,0,0
2020,69.55,25.63,3.06,0,0.89,0.86,0,0,0
2021,64.6,30.41,2.37,0,1.24,1.38,0,0,0
2022,64.2,31.43,1.31,0,1.44,1.61,0,0,0
2023,62.53,32.18,1.54,0,1.15,2.58,0,0,0.02
