"Date","iOS","Android","Windows","Linux","BlackBerry OS","Samsung","Series 40","webOS","SymbianOS","Playstation","Other"
2012,84.76,12.93,0.64,0.02,0.84,0.05,0.38,0.02,0.13,0.05,0.15
2013,81.62,13.51,1.34,2.46,0.66,0.07,0.17,0.03,0.08,0.01,0.05
2014,76.67,17.1,2.52,3.11,0.42,0.01,0.05,0.05,0.02,0.02,0.02
2015,73.45,20.64,2.75,2.61,0.33,0.01,0.09,0.04,0.01,0.03,0.02
2016,71.24,26.15,1.81,0.45,0.1,0.08,0.13,0.02,0,0.01,0.02
2017,69.51,29.09,1.13,0.06,0.06,0.12,0,0,0,0,0.02
2018,67.26,31.73,0.64,0.02,0.02,0.32,0,0,0,0,0.01
2019,63.67,35.24,0.69,0.02,0.01,0.36,0,0,0,0,0.01
2020,59.58,39.52,0.74,0.01,0.01,0.14,0,0,0,0,0
2021,61.42,38.21,0.04,0,0,0.32,0,0,0,0,0
2022,62.25,37.39,0.03,0,0,0.33,0,0,0,0,0
2023,61.28,37.97,0.17,0.04,0.06,0.38,0.01,0,0.02,0,0.07
2009,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0
