"Date","Windows","Unknown","Linux","OS X","Android","Chrome OS","iOS","Samsung","Other"
2009,98.39,0.1,1,0.5,0,0,0,0,0.01
2010,97.96,0.06,1.17,0.77,0,0,0.02,0,0.01
2011,97.38,0.08,1.33,0.99,0.04,0,0.17,0,0.01
2012,96.57,0.34,1.25,1.17,0.11,0,0.27,0.24,0.06
2013,96.16,0.17,1.41,1.52,0.73,0,0,0,0.02
2014,95.4,0.91,1.65,1.77,0.25,0.02,0,0,0
2015,93.57,2.48,1.92,1.98,0,0.04,0,0,0.01
2016,87.93,7.24,2.05,2.7,0,0.08,0,0,0.01
2017,90.72,3.17,2.29,3.74,0,0.08,0,0,0
2018,83.66,8.48,3.23,4.54,0,0.09,0,0,0
2019,80.96,8.3,5.21,5.49,0,0.04,0,0,0
2020,83.29,5.96,3.8,6.84,0,0.1,0,0,0
2021,78.95,13.15,3.6,4.13,0,0.17,0,0,0
2022,79.86,9.72,6.52,3.65,0,0.24,0,0,0
2023,67.85,17.92,11.03,2.97,0,0.23,0,0,0
