"Date","Android","Series 40","Unknown","Samsung","iOS","SymbianOS","Nokia Unknown","Windows","KaiOS","Linux","Tizen","Sony Ericsson","bada","BlackBerry OS","LG","Firefox OS","MeeGo","Other"
2012,12.99,32.75,9.36,19.08,1.43,19.77,0,1.22,0,0.07,0,1.36,1.51,0.29,0.09,0,0,0.07
2013,24.62,31.03,8.49,15.44,1.82,12.65,0.35,0.94,0,2.29,0,0.87,0.8,0.3,0.31,0,0,0.08
2014,44.7,20.93,9.01,10.71,1.91,5.91,2.19,1.64,0,1.37,0,0.54,0.44,0.3,0.33,0,0,0.02
2015,61.65,10.06,9.1,4.33,2.12,2.49,6.58,2.01,0,0.42,0.19,0.31,0.17,0.25,0.16,0,0.14,0.02
2016,70.65,3.86,9.6,2.28,2.74,1,6.48,1.75,0,0.41,0.53,0.2,0.06,0.17,0.09,0,0.17,0.01
2017,78.94,1.17,9.73,0.98,3.04,0.37,3.32,0.93,0,0.09,0.87,0.06,0.02,0.08,0.05,0.26,0.09,0
2018,88.43,0.55,3.89,0.64,3.13,0.19,0.41,0.45,1.28,0.02,0.5,0.03,0.01,0.03,0.02,0.39,0.03,0
2019,91.88,0.19,0.23,0.42,2.87,0.06,0.21,0.17,3.66,0.01,0.28,0.01,0,0.01,0,0,0,0
2020,95.01,0.03,0.06,0.15,3.45,0.01,0.06,0.04,1.09,0.01,0.1,0,0,0.01,0,0,0,0
2021,95.69,0.02,0.02,0.12,3.21,0,0.04,0.01,0.85,0.01,0.04,0,0,0,0,0,0,0
2022,95.13,0.01,0.02,0.11,4.06,0,0.03,0,0.62,0,0.01,0,0,0,0,0,0,0
2023,95.06,0.01,0.03,0.07,4.1,0,0.02,0,0.7,0.01,0.01,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
