"Date","Windows","Unknown","OS X","Linux","Android","iOS","Chrome OS","Other"
2009,99.5,0.08,0.25,0.16,0,0,0,0.01
2010,99.21,0.08,0.46,0.21,0,0.02,0,0.01
2011,98.99,0.05,0.5,0.2,0.06,0.18,0,0.01
2012,98.5,0.06,0.68,0.32,0.14,0.29,0,0.02
2013,98.7,0.03,0.68,0.35,0.24,0,0,0
2014,97.92,0.38,0.97,0.61,0.11,0,0,0
2015,96.69,1.33,1.22,0.76,0,0,0,0
2016,93.38,4.24,1.62,0.77,0,0,0,0
2017,94.68,2.32,2.19,0.8,0,0,0.01,0
2018,95.11,1.51,2.53,0.65,0,0,0.2,0
2019,94.58,2.65,2.24,0.53,0,0,0.01,0
2020,95.59,1.29,2.4,0.71,0,0,0.01,0
2021,91.65,6.07,1.22,1.04,0,0,0.01,0
2022,92.95,4.42,1.15,1.45,0,0,0.01,0
2023,90.73,6.43,1,1.82,0,0,0.02,0
