"Date","Android","iOS","SymbianOS","Series 40","Unknown","Samsung","Sony Ericsson","Linux","Nokia Unknown","Windows","LG","BlackBerry OS","bada","Other"
2012,26.75,8.5,24.91,10.4,9.1,7.4,8.88,0.16,0,1.81,0.97,0.1,0.77,0.25
2013,46.25,11.94,13.11,8.87,5.66,3.91,4.16,4.02,0.03,0.56,0.71,0.1,0.53,0.14
2014,71.99,10.47,3.98,6.67,2.28,0.87,1.16,1.19,0.1,0.61,0.29,0.13,0.2,0.05
2015,84.22,9.49,1.05,1.79,1.24,0.13,0.18,0.12,0.94,0.49,0.08,0.15,0.08,0.02
2016,86.08,9.56,0.38,0.34,1.45,0.09,0.09,0.16,1.23,0.39,0.06,0.13,0.04,0.01
2017,86.64,11.53,0.12,0.14,0.58,0.05,0.07,0.12,0.36,0.26,0.02,0.09,0.01,0
2018,87.34,11.76,0.04,0.06,0.16,0.06,0.03,0.1,0.18,0.19,0,0.07,0.01,0
2019,88.38,11.04,0.02,0.04,0.02,0.08,0.01,0.03,0.22,0.13,0,0.04,0,0
2020,90.27,9.46,0,0.01,0.01,0.1,0,0.01,0.08,0.04,0,0.01,0,0
2021,93.74,5.97,0,0.01,0,0.18,0,0.01,0.07,0.01,0,0.01,0,0
2022,92.97,6.79,0,0.01,0,0.19,0,0.01,0.03,0.01,0,0,0,0
2023,92.36,7.48,0,0,0,0.12,0,0,0.02,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
