"Date","iOS","Android","Windows","Samsung","BlackBerry OS","Linux","Series 40","SymbianOS","Playstation","Unknown","Nintendo 3DS","MeeGo","Other"
2012,76.39,20.08,1.01,0.01,0.29,0.06,0.49,0.64,0.17,0.15,0.09,0.46,0.15
2013,73.72,22.78,2.02,0.01,0.29,0.27,0.3,0.24,0.22,0.04,0.01,0.04,0.04
2014,65.54,31.97,1.8,0.01,0.19,0.19,0.11,0.11,0.02,0.02,0,0.01,0.03
2015,60.67,37.03,1.79,0.02,0.17,0.14,0.05,0.03,0.01,0.02,0.01,0,0.05
2016,56.07,42.02,1.47,0.16,0.15,0.02,0.02,0.01,0.01,0.02,0.04,0,0.01
2017,53.6,45.49,0.59,0.2,0.03,0.01,0.01,0,0,0.02,0.03,0,0.01
2018,53.23,46.34,0.2,0.16,0.01,0,0,0,0,0.01,0.03,0,0.02
2019,48.57,51.21,0.07,0.11,0.01,0,0,0,0,0,0.01,0,0.02
2020,49.9,49.97,0.01,0.1,0,0,0,0,0,0,0,0,0.01
2021,53.33,46.01,0.01,0.64,0,0,0,0,0,0,0,0,0.01
2022,51.56,47.68,0.07,0.57,0.02,0.02,0,0.01,0,0.01,0,0.01,0.04
2023,53.93,45.56,0.03,0.45,0,0.01,0,0,0,0,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0
