"Date","Windows","OS X","iOS","Linux","Unknown","Chrome OS","Playstation","Android","Other"
2009,82.97,15.51,0,0.84,0.13,0,0.53,0,0.03
2010,82.5,15.51,0.57,0.82,0.07,0,0.51,0,0.02
2011,76.75,19.17,3.1,0.49,0.04,0,0.4,0.03,0.01
2012,72.48,21.19,5.35,0.6,0.05,0,0.17,0.12,0.02
2013,75.97,22.69,0,0.87,0.21,0.05,0,0.21,0
2014,73.43,25.14,0,0.83,0.16,0.39,0,0.05,0
2015,72.81,25.31,0,0.95,0.4,0.52,0,0,0.01
2016,71.57,25.57,0,0.81,1.48,0.58,0,0,0
2017,71.72,26.12,0,0.74,0.71,0.72,0,0,0
2018,68.9,27.65,0,0.67,1.94,0.84,0,0,0
2019,65.63,30.83,0,0.71,2.03,0.8,0,0,0
2020,55.43,42.26,0,0.36,1.11,0.84,0,0,0
2021,58.28,38.8,0,0.32,1.19,1.4,0,0,0
2022,61.08,35.94,0,0.29,1.22,1.47,0,0,0
2023,57.97,38,0,0.38,2.24,1.41,0,0,0
