"Date","iOS","Android","Windows","Linux","Samsung","BlackBerry OS","Series 40","Unknown","Nokia Unknown","SymbianOS","Nintendo 3DS","Playstation","Other"
2012,83.38,14.41,0.42,0.05,0.05,0.4,0.39,0.01,0,0.25,0.53,0.02,0.09
2013,83.79,11.98,1.15,1.93,0.01,0.37,0.46,0.03,0,0.16,0.04,0.01,0.06
2014,79.49,16.45,1.25,2.29,0,0.27,0.14,0.02,0,0.01,0.02,0.03,0.01
2015,73.55,21.93,1.79,1.91,0.03,0.21,0.22,0.1,0.17,0.01,0.01,0.04,0.02
2016,71.61,25.43,1.82,0.17,0.16,0.31,0.25,0.09,0.06,0.03,0,0.02,0.03
2017,72.88,25.35,0.84,0.04,0.54,0.18,0.01,0.13,0.02,0,0,0,0.01
2018,70.84,28.11,0.35,0.01,0.65,0.02,0,0.01,0.01,0,0,0,0.01
2019,68.62,30.79,0.19,0.01,0.36,0.01,0,0,0,0,0.01,0,0.01
2020,68.68,30.85,0.03,0,0.41,0,0,0,0,0,0,0,0.02
2021,71.23,28.17,0,0,0.58,0,0,0,0,0,0,0,0
2022,69.75,29.74,0,0,0.5,0,0,0,0,0,0,0,0
2023,70.21,29.26,0.04,0,0.48,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0
