"Date","Android","iOS","BlackBerry OS","Windows","Series 40","Unknown","Linux","Samsung","Playstation","SymbianOS","Nokia Unknown","LG","Sony Ericsson","webOS","Nintendo 3DS","Nintendo","Other"
2012,25.37,43.32,13.32,0.92,5.7,3.39,0.14,1.04,1.89,2.54,0,0.04,0.53,0.57,0.68,0.33,0.2
2013,37.72,32.01,10.93,1.89,6.64,3.16,2.13,1.17,0.9,1.48,0.05,0.41,0.42,0.47,0.28,0.19,0.14
2014,59.8,23.11,5.39,2.37,3.19,1.9,2.15,0.53,0.42,0.46,0.12,0.27,0.09,0.04,0.04,0.05,0.06
2015,71.79,17.11,2.9,2.59,1.51,1.75,1.24,0.14,0.21,0.15,0.42,0.11,0.01,0.01,0.03,0,0.02
2016,74.67,16.88,1.89,2.21,0.92,2,0.33,0.12,0.23,0.09,0.56,0.07,0,0,0.01,0,0.01
2017,77.95,18.81,0.44,1.11,0.18,1.05,0.09,0.08,0.1,0.01,0.15,0.03,0,0,0,0,0
2018,79.68,18.37,0.24,0.72,0.16,0.62,0.05,0.07,0.06,0.01,0.02,0.01,0,0,0,0,0
2019,78.15,21.3,0.05,0.3,0.02,0.06,0.03,0.08,0.02,0,0,0,0,0,0,0,0
2020,77.61,22.14,0.02,0.07,0,0.01,0.02,0.11,0.01,0,0,0,0,0,0,0,0.01
2021,75.59,23.79,0.01,0.01,0,0.01,0.04,0.54,0,0,0,0,0,0,0,0,0
2022,75.14,24.27,0,0.01,0,0.01,0.01,0.56,0,0,0,0,0,0,0,0,0
2023,69.6,29.82,0,0.01,0,0,0.02,0.54,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
