"Date","iOS","Android","Playstation","Windows","Linux","Unknown","WAP","Nintendo 3DS","BlackBerry OS","Samsung","Other"
2012,56.15,41.86,0.17,0.14,0.08,0.56,0.46,0.24,0.05,0,0.28
2013,61.14,37.46,0.11,0.2,0.36,0.23,0.22,0.16,0.03,0,0.1
2014,65.93,32.97,0.39,0.11,0.29,0.14,0.08,0.03,0.02,0,0.04
2015,67.08,31.84,0.27,0.28,0.2,0.11,0.05,0.05,0.03,0.01,0.07
2016,70.95,28.1,0.33,0.23,0.05,0.14,0.06,0.06,0.05,0,0.02
2017,69,30.16,0.36,0.13,0.02,0.16,0.04,0.06,0.04,0,0.01
2018,70.33,29.23,0.17,0.06,0.01,0.1,0.03,0.04,0.01,0.01,0.01
2019,71.03,28.72,0.09,0.04,0.01,0.05,0.02,0.02,0.01,0.01,0.01
2020,64.19,35.64,0.07,0.02,0,0.04,0,0.02,0,0.02,0
2021,66.78,33.06,0.05,0.01,0,0.04,0,0,0,0.05,0
2022,66.03,33.83,0.03,0.01,0,0.02,0,0,0,0.07,0
2023,69.07,30.77,0.04,0.02,0.01,0.02,0,0,0,0.07,0
2009,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0
