"Date","Android","Unknown","Series 40","Linux","iOS","Windows","Samsung","Nokia Unknown","SymbianOS","Sony Ericsson","BlackBerry OS","Tizen","LG","Firefox OS","Other"
2012,23.56,10.83,38.87,0.11,6.36,0.67,4.75,0,12.68,1.13,0.65,0,0.11,0,0.29
2013,29.1,12.59,38.52,0.27,3.27,0.83,6.2,0.22,5.67,2.31,0.5,0,0.43,0,0.1
2014,40.91,12.67,31.08,0.38,2.25,2.09,4.64,0.75,3.17,1.11,0.48,0,0.39,0,0.06
2015,70.93,7.16,8.91,4.62,1.04,2.15,1.37,2.3,0.82,0.16,0.32,0,0.2,0.01,0.02
2016,81.33,5.64,3,4.55,0.61,2.24,0.61,1.33,0.33,0.04,0.19,0.02,0.09,0.02,0.01
2017,71.87,16.8,3.1,1.24,1.36,1.9,0.82,1.47,0.44,0.04,0.22,0.56,0.14,0.03,0.02
2018,78.52,13.24,1.82,0.75,2.13,1.2,0.48,0.83,0.29,0.03,0.13,0.5,0.03,0.02,0.01
2019,82.52,9.49,0.92,0.93,3.87,0.65,0.41,0.43,0.26,0.01,0.09,0.38,0.01,0.02,0.01
2020,87.74,5.85,0.24,0.41,4.79,0.2,0.24,0.19,0.06,0,0.05,0.21,0,0.01,0.01
2021,89.3,5.8,0.16,0.26,3.98,0.02,0.21,0.11,0.02,0,0.02,0.11,0,0.01,0.01
2022,90.49,5.19,0.14,0.14,3.69,0.02,0.19,0.05,0.03,0,0.01,0.03,0,0,0.01
2023,88.83,7.28,0.13,0.12,3.37,0,0.16,0.04,0.01,0,0,0.02,0,0,0.02
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
