"Date","Android","iOS","Series 40","SymbianOS","Unknown","Nokia Unknown","Windows","Samsung","Linux","Sony Ericsson","BlackBerry OS","bada","LG","MeeGo","Other"
2012,16.46,13.43,27.9,25.88,11.05,0,0.48,2.32,0.24,1.33,0.45,0.2,0.13,0.07,0.05
2013,26.96,11.02,26.5,17.32,12.61,0.06,0.74,3.2,0.27,0.59,0.22,0.18,0.22,0.06,0.04
2014,56.41,20.1,10.18,5.74,3.34,0.67,1.72,1.2,0.2,0.11,0.1,0.1,0.07,0.04,0.01
2015,63.7,14.75,9.08,3.7,1.05,3.49,1.63,0.85,1.3,0.09,0.14,0.13,0.04,0.03,0.02
2016,69.73,15.09,5.56,2.62,1.05,3.59,1.17,0.57,0.32,0.04,0.11,0.08,0.03,0.01,0.02
2017,78.92,14.4,1.47,0.76,1.33,1.94,0.67,0.28,0.07,0.01,0.05,0.05,0.02,0.01,0.01
2018,84.81,12.48,0.49,0.24,0.96,0.43,0.41,0.1,0.03,0,0.02,0.01,0.02,0,0
2019,86.78,12.46,0.16,0.06,0.1,0.22,0.13,0.06,0.02,0,0.01,0,0,0,0.01
2020,88.03,11.84,0.01,0.01,0.02,0.02,0.02,0.03,0.01,0,0,0,0,0,0
2021,88,11.87,0.01,0,0.01,0.01,0,0.08,0,0,0,0,0,0,0
2022,86.93,12.97,0,0,0,0,0.01,0.07,0,0,0,0,0,0,0
2023,78.24,21.65,0,0,0,0,0.04,0.05,0.01,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
