"Date","Android","iOS","Series 40","SymbianOS","Nokia Unknown","Windows","Unknown","Samsung","Sony Ericsson","LG","Linux","BlackBerry OS","bada","Other"
2012,24.56,35.48,17.26,15.39,0,0.43,3.09,0.7,2.42,0.11,0.12,0.19,0.09,0.18
2013,33.73,31.85,19.79,7.42,0.17,0.61,3.21,1.07,1.16,0.5,0.22,0.14,0.07,0.07
2014,43.8,43.95,7.4,1.12,0.36,1.81,0.62,0.32,0.19,0.15,0.12,0.1,0.02,0.03
2015,47.07,42.17,4.74,0.63,2.39,1.63,0.89,0.14,0.04,0.08,0.1,0.09,0.02,0.02
2016,50.14,42.83,2.31,0.43,2.5,0.99,0.44,0.13,0.01,0.04,0.09,0.06,0.01,0.01
2017,57.54,40.44,0.37,0.13,0.67,0.4,0.25,0.06,0.01,0.01,0.05,0.05,0,0.01
2018,69,30.25,0.07,0.03,0.18,0.15,0.2,0.04,0,0,0.03,0.02,0,0.01
2019,62.08,37.29,0.02,0.03,0.08,0.21,0.15,0.06,0,0,0.05,0.03,0,0.01
2020,57.43,42.08,0,0.01,0.02,0.1,0.07,0.23,0,0,0.02,0.02,0,0.02
2021,53.9,45.62,0,0,0.01,0.01,0.02,0.41,0,0,0.01,0.01,0,0.02
2022,55.02,44.59,0,0,0,0.01,0.01,0.35,0,0,0.01,0,0,0
2023,56.45,43.23,0,0,0,0.02,0.02,0.26,0,0,0.01,0.01,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
