"Date","Windows","Unknown","OS X","Linux","Chrome OS","iOS","Android","FreeBSD","Other"
2009,79.71,1.55,0.99,14.74,0,0,0,3.01,0
2010,97.45,0.01,0.79,1.73,0,0.02,0,0,0
2011,96.25,0,1.42,2.05,0,0.2,0.06,0,0.01
2012,95.09,0.01,2.88,1.3,0,0.65,0.07,0,0
2013,97.54,0.01,2.02,0.29,0,0,0.14,0,0
2014,95.7,0.72,2.77,0.72,0.03,0,0.05,0,0
2015,93.53,1.88,3.37,0.88,0.31,0,0,0.01,0.01
2016,91.31,4.73,2.93,0.94,0.08,0,0,0.01,0.01
2017,89.61,2.71,6.52,1.03,0.1,0,0,0,0.03
2018,83.22,6.62,9.19,0.88,0.09,0,0,0,0
2019,70.62,14.34,14.46,0.51,0.07,0,0,0,0
2020,78.49,12.37,7.7,1.31,0.13,0,0,0,0
2021,63.5,31.25,3.93,1.15,0.12,0,0,0,0.05
2022,53.22,40.23,4.41,1.95,0.19,0,0,0,0
2023,57.4,33.85,6.87,1.36,0.51,0,0,0,0
