"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,97.94,1.42,0.51,0.12,0,0,0,0.01
2010,98.93,0.87,0.13,0.05,0.02,0,0,0
2011,98.55,1.13,0.04,0.07,0.18,0.02,0,0
2012,96.25,2.55,0.03,0.19,0.74,0.23,0,0.01
2013,97.63,1.74,0.03,0.22,0,0.37,0,0
2014,97.37,1.73,0.58,0.22,0,0.08,0.01,0
2015,96.1,2.33,1.29,0.26,0,0,0.01,0.01
2016,90.51,4.88,4.07,0.5,0,0,0.03,0.02
2017,91.63,6.12,1.76,0.47,0,0,0.02,0.01
2018,86.87,6.01,6.4,0.65,0,0,0.07,0
2019,84.8,7.27,7.34,0.56,0,0,0.02,0
2020,89.67,7.86,1.87,0.57,0,0,0.03,0
2021,89.57,5.87,3.83,0.69,0,0,0.05,0
2022,89.49,6.37,3.46,0.61,0,0,0.07,0
2023,84.77,6.58,7.68,0.9,0,0,0.08,0
