"Date","iOS","Android","BlackBerry OS","Linux","Windows","Samsung","Unknown","Series 40","SymbianOS","Nintendo 3DS","Playstation","webOS","Other"
2012,79.6,13.37,5.9,0.02,0.06,0.02,0.02,0.08,0.47,0.18,0.09,0.07,0.13
2013,79.23,14.7,3.68,1.57,0.26,0.01,0.05,0.08,0.13,0.15,0.03,0.08,0.03
2014,67.33,26.15,2.86,2.91,0.54,0,0.02,0.07,0.03,0.01,0.03,0.03,0.01
2015,59.18,35.97,1.68,1.18,1.51,0,0.34,0.04,0.02,0.01,0.04,0,0.03
2016,57.19,39.53,1.55,0.11,1.4,0.01,0.12,0.02,0,0.01,0.03,0,0.03
2017,54.55,44.24,0.42,0.06,0.48,0.04,0.16,0.01,0,0,0.01,0,0.02
2018,55.99,43.41,0.09,0.15,0.24,0.07,0.04,0,0,0,0,0,0
2019,53.35,46.43,0.03,0.03,0.08,0.07,0.01,0,0,0,0,0,0
2020,51.98,47.74,0.13,0,0.01,0.13,0,0,0,0,0,0,0
2021,54.73,43.55,0.01,0,0,1.7,0,0,0,0,0,0,0
2022,55.32,43.9,0,0,0,0.77,0,0,0,0,0,0,0
2023,55.74,42.7,0,0,0,1.55,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0
