"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,99.23,0.35,0.11,0.3,0,0,0,0.01
2010,98.22,1.1,0.11,0.49,0.07,0,0,0.01
2011,97.7,1.37,0.06,0.41,0.4,0.04,0,0.01
2012,96.86,1.65,0.04,0.71,0.59,0.12,0,0.02
2013,96.51,2.18,0.05,0.85,0,0.4,0,0
2014,95.27,2.81,0.54,1.22,0,0.14,0.01,0
2015,93.58,3.29,1.69,1.41,0,0,0.02,0.01
2016,91.78,4.63,2.66,0.92,0,0,0.01,0
2017,92.61,5.82,0.63,0.9,0,0,0.02,0
2018,91.06,6.92,1.43,0.56,0,0,0.02,0
2019,90.57,6.74,1.95,0.72,0,0,0.02,0
2020,90.9,7.67,0.72,0.7,0,0,0.01,0
2021,89.9,6.38,2.46,1.2,0,0,0.06,0
2022,89.05,7.09,2.44,1.36,0,0,0.06,0
2023,82.23,7.32,8.35,2,0,0,0.09,0
