"Date","Android","iOS","Series 40","SymbianOS","Unknown","Windows","Nokia Unknown","Samsung","Linux","BlackBerry OS","LG","Sony Ericsson","bada","MeeGo","Other"
2012,22.55,24.97,23.1,19.32,6.2,1.06,0,1.17,0.3,0.1,0.07,0.52,0.37,0.21,0.05
2013,34.29,23.96,21.43,10.27,6.78,0.94,0.06,1.37,0.24,0.06,0.21,0.17,0.11,0.1,0.02
2014,55.71,31.78,6.73,2.21,0.99,1.47,0.34,0.37,0.1,0.06,0.1,0.05,0.05,0.05,0.01
2015,65.62,25.57,3.9,1.03,0.44,1.28,1.53,0.23,0.14,0.1,0.07,0.03,0.03,0.02,0.01
2016,68.64,25.46,2.19,0.49,0.41,1.02,1.24,0.26,0.11,0.09,0.04,0.01,0.01,0.02,0.01
2017,72.71,24.6,0.63,0.32,0.51,0.48,0.47,0.13,0.02,0.08,0.04,0,0,0.01,0.01
2018,75.8,22.71,0.26,0.09,0.27,0.33,0.38,0.1,0.01,0.03,0.02,0,0,0,0
2019,78.08,21.1,0.19,0.03,0.05,0.19,0.14,0.18,0.01,0.01,0,0,0,0,0.01
2020,78.43,21.26,0.04,0.02,0.04,0.04,0.03,0.12,0.01,0.02,0,0,0,0,0
2021,77.63,21.83,0.02,0,0.01,0.03,0.01,0.21,0.26,0,0,0,0,0,0
2022,73.95,25.84,0,0,0,0.01,0,0.19,0,0,0,0,0,0,0
2023,68.45,31.32,0,0,0,0.01,0,0.2,0.01,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
