"Date","Android","iOS","Series 40","Windows","SymbianOS","Unknown","Nokia Unknown","Samsung","Linux","BlackBerry OS","Other"
2012,8.3,15.14,32.1,0.21,35.63,6.77,0,1.2,0.09,0.24,0.34
2013,19.25,22.56,29.05,2.88,16.93,7.4,0.24,1.15,0.13,0.11,0.32
2014,42.74,25.83,14.67,9.11,3.89,1.79,1.06,0.58,0.12,0.08,0.14
2015,58.97,27.36,4.13,5.5,1.03,0.41,2.32,0.09,0.13,0.03,0.02
2016,70.18,25.93,0.67,2.18,0.18,0.15,0.61,0.03,0.05,0.01,0.01
2017,78.27,20.56,0.12,0.79,0.03,0.07,0.12,0.02,0.02,0,0
2018,81.09,18.26,0.06,0.4,0.01,0.1,0.04,0.02,0.01,0.01,0
2019,74.1,24.84,0.04,0.85,0.01,0.04,0.02,0.04,0.02,0.01,0.02
2020,76.1,22.95,0.02,0.76,0,0.03,0.01,0.1,0.01,0.02,0.01
2021,79.71,20.08,0,0,0,0.02,0,0.18,0,0,0
2022,79.96,19.79,0,0.01,0,0.01,0,0.22,0.01,0,0
2023,73.16,26.6,0,0.03,0,0.02,0,0.14,0.01,0.01,0.01
2009,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0
