"Date","Windows","OS X","Unknown","iOS","Linux","Android","Chrome OS","Other"
2009,97.69,2.01,0.09,0,0.19,0,0,0.02
2010,95.92,3.58,0.06,0.17,0.24,0,0,0.02
2011,94.47,4.04,0.04,1.15,0.22,0.08,0,0.01
2012,92.01,5.31,0.04,2.2,0.28,0.15,0,0.02
2013,90.4,8.45,0.02,0,0.58,0.55,0,0
2014,86.36,12.29,0.34,0,0.77,0.21,0.02,0
2015,83.26,14.52,0.98,0,1.19,0,0.04,0
2016,78.05,18.65,2.37,0,0.9,0,0.04,0
2017,76.66,21.53,0.59,0,1.16,0,0.05,0
2018,74.25,22.4,2.67,0,0.62,0,0.06,0
2019,76.13,20.34,3.12,0,0.37,0,0.03,0
2020,76.69,22.25,0.54,0,0.45,0,0.08,0
2021,76.91,16.37,5.39,0,1.16,0,0.18,0
2022,77.05,14.03,7.34,0,1.39,0,0.18,0.01
2023,74.43,12.57,11.14,0,1.64,0,0.21,0
