"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,98.05,0.63,0.12,1.2,0,0,0,0
2010,98.23,0.75,0.05,0.94,0.02,0,0,0.01
2011,98.06,0.8,0.04,0.91,0.16,0.03,0,0
2012,97.89,0.92,0.05,0.8,0.26,0.06,0,0.02
2013,97.72,1.24,0.02,0.78,0,0.23,0,0
2014,96.26,1.98,0.72,0.86,0,0.16,0.02,0
2015,92.63,2.57,3.57,1.2,0,0,0.03,0
2016,86.74,3.85,8.03,1.34,0,0,0.03,0
2017,90.62,4.81,3.18,1.35,0,0,0.03,0
2018,87.84,6.2,4.86,1.07,0,0,0.03,0
2019,84.88,7.19,7.12,0.77,0,0,0.04,0
2020,89.47,6.92,2.58,0.95,0,0,0.08,0
2021,88.45,3.12,7.22,1.13,0,0,0.08,0
2022,92.55,3.06,3.17,1.11,0,0,0.11,0
2023,90.5,2.81,5.44,1.11,0,0,0.13,0
