"Date","Windows","Unknown","OS X","Linux","Chrome OS","iOS","Android","SunOS","Other"
2009,96.33,0.59,1.87,1.18,0,0,0,0,0.02
2010,94.22,0.11,4.21,1.39,0,0.06,0,0,0.01
2011,91.23,0.08,7.18,0.45,0,0.51,0.13,0.43,0
2012,92.43,0.09,4.52,0.78,0,1.8,0.27,0.08,0.02
2013,92.53,0.19,6.17,0.66,0.07,0,0.37,0,0
2014,93.43,0.59,4.92,0.76,0.21,0,0.1,0,0.01
2015,90.84,2.79,5.42,0.63,0.31,0,0,0,0
2016,84.22,9.78,4.85,0.71,0.43,0,0,0,0.01
2017,87.92,5.01,5.23,0.68,1.15,0,0,0,0.01
2018,88.9,6.72,2.76,1.16,0.45,0,0,0,0
2019,80.22,14.78,3.62,0.69,0.68,0,0,0,0
2020,67.76,25.12,5.52,0.47,1.12,0,0,0,0
2021,53.26,41.67,3.47,0.44,1.17,0,0,0,0
2022,59.01,35.71,3.43,0.41,1.44,0,0,0,0
2023,49.81,42.69,4.04,1.2,2.25,0,0,0,0.01
