"Date","Android","Series 40","Unknown","Nokia Unknown","Windows","iOS","Samsung","SymbianOS","Linux","BlackBerry OS","Tizen","LG","Sony Ericsson","KaiOS","Other"
2012,6.45,38.9,9.53,0,1.28,7.23,7.69,27.5,0.04,0.5,0,0.13,0.44,0,0.32
2013,8.3,50.74,12.86,0.2,0.56,2.47,10.61,12.25,0.1,0.48,0,0.89,0.39,0,0.13
2014,16.44,53.46,7.99,1.97,2.2,1.72,8.23,5.79,0.47,0.59,0,0.63,0.48,0,0.03
2015,46.52,28.22,3.51,7.36,2.93,1.47,2.8,2.66,2.53,1.64,0,0.16,0.16,0,0.03
2016,63.59,14.1,4.83,6.86,3.11,0.95,1.39,1.44,1.87,1.73,0.02,0.05,0.03,0,0.03
2017,67.41,4.84,17.3,3.05,2.72,1.49,0.43,0.45,0.56,1.28,0.45,0.01,0.01,0,0.01
2018,84.12,1.62,7.08,0.76,1.89,1.84,0.14,0.14,0.54,0.54,1.27,0.05,0,0,0.01
2019,91.29,0.68,0.27,0.36,1.19,3.18,0.06,0.02,0.64,0.4,1.91,0,0,0,0
2020,94.35,0.21,0.04,0.23,0.22,3.51,0.05,0.01,0.61,0.16,0.62,0,0,0,0
2021,95.27,0.27,0.04,0.18,0.01,3.41,0.07,0.02,0.27,0.05,0.41,0,0,0.01,0
2022,95.02,0.35,0.05,0.08,0,3.99,0.09,0.01,0.16,0.02,0.18,0,0,0.05,0
2023,94.82,0.18,0.02,0.07,0,4.36,0.12,0.02,0.04,0,0.16,0,0,0.2,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
