"Date","Android","iOS","Windows","Series 40","SymbianOS","Samsung","Unknown","Nokia Unknown","BlackBerry OS","Sony Ericsson","Linux","LG","Playstation","bada","MeeGo","Other"
2012,45.66,26.34,2.18,11.17,8.53,1.42,1.76,0,0.31,0.95,0.66,0.1,0.34,0.18,0.2,0.22
2013,52.75,25.6,2.94,8.3,5.02,1.32,1.94,0.04,0.35,0.59,0.4,0.2,0.2,0.14,0.15,0.05
2014,64.44,24.01,4.14,3.63,1.62,0.56,0.64,0.11,0.24,0.21,0.14,0.09,0.04,0.05,0.07,0.01
2015,69.08,22.86,3.89,1.88,0.68,0.27,0.2,0.6,0.21,0.08,0.14,0.05,0.03,0.02,0.01,0.02
2016,72.09,22.84,2.76,0.8,0.28,0.31,0.12,0.48,0.18,0.06,0.06,0.02,0.02,0.01,0,0
2017,75.28,22.27,1.23,0.22,0.13,0.32,0.2,0.19,0.1,0.01,0.02,0,0.01,0.01,0,0
2018,75.03,23.74,0.45,0.11,0.09,0.37,0.06,0.09,0.03,0,0.01,0,0,0.01,0,0.01
2019,78.08,21.25,0.27,0.04,0.01,0.22,0.04,0.05,0.02,0,0.01,0,0,0,0,0.01
2020,76.17,23.43,0.13,0.01,0.01,0.16,0.03,0.03,0.02,0,0.01,0,0,0,0,0
2021,71.08,28.36,0.07,0.01,0,0.42,0.02,0.02,0.01,0,0,0,0,0,0,0
2022,73.33,26.08,0.05,0,0,0.48,0,0.02,0.03,0,0,0,0,0,0,0
2023,65.46,33.96,0.06,0,0,0.47,0.01,0.01,0.01,0,0.01,0,0,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
