"Date","Android","iOS","Windows","Series 40","SymbianOS","Samsung","Unknown","BlackBerry OS","Nokia Unknown","Linux","Sony Ericsson","MeeGo","bada","LG","Playstation","Other"
2012,40.78,33.55,1.81,5.94,12.23,1.28,1.45,0.26,0,0.42,1.13,0.19,0.43,0.1,0.34,0.09
2013,47.18,37.28,2.81,4.6,4.42,1.01,0.96,0.35,0.04,0.29,0.4,0.18,0.27,0.15,0.04,0.03
2014,59.58,33.86,2.94,1.33,0.91,0.28,0.28,0.23,0.06,0.11,0.09,0.19,0.05,0.05,0.04,0
2015,62.43,30.29,4.17,1.16,0.54,0.28,0.14,0.27,0.33,0.18,0.06,0.02,0.03,0.05,0.04,0.01
2016,65.22,30.08,3.07,0.42,0.26,0.28,0.08,0.14,0.29,0.08,0.02,0.01,0.02,0.03,0.01,0.01
2017,69.5,28.14,1.63,0.13,0.07,0.28,0.05,0.07,0.06,0.03,0.01,0,0.01,0.01,0.01,0.01
2018,69.38,29.35,0.67,0.08,0.03,0.33,0.03,0.03,0.08,0.02,0,0,0.01,0,0,0.01
2019,71.86,27.47,0.24,0.04,0.01,0.23,0.04,0.01,0.06,0.02,0,0,0,0,0,0
2020,73.73,25.93,0.06,0.01,0,0.21,0.02,0.01,0.03,0.01,0,0,0,0,0,0
2021,76.04,23.43,0.01,0.01,0,0.46,0.01,0,0.03,0,0,0,0,0,0,0
2022,69.97,29.19,0.01,0.02,0,0.76,0.01,0.01,0.01,0,0,0,0,0,0,0.01
2023,68.49,30.55,0.04,0.01,0,0.85,0.01,0.01,0.01,0.02,0,0,0,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
