"Date","Windows","OS X","Unknown","Linux","Android","iOS","Chrome OS","Other"
2009,98.68,0.84,0.07,0.41,0,0,0,0.01
2010,98.74,0.71,0.05,0.46,0,0.04,0,0.01
2011,98.46,0.81,0.03,0.45,0.02,0.22,0,0.01
2012,97.81,1.2,0.02,0.44,0.08,0.44,0,0.03
2013,97.55,1.34,0.01,0.52,0.56,0,0,0.02
2014,95.77,1.66,1.48,0.83,0.24,0,0.02,0
2015,94.36,1.83,2.62,1.15,0,0,0.04,0
2016,91.79,2.14,4.54,1.46,0,0,0.06,0
2017,91.87,3.19,3.65,1.22,0,0,0.06,0
2018,86.98,3.51,8.2,1.21,0,0,0.09,0
2019,87.5,4.39,7.03,1.01,0,0,0.07,0
2020,88.27,5.66,4.71,1.26,0,0,0.1,0
2021,87.32,4.83,5.33,2.3,0,0,0.22,0
2022,87.9,6.88,2.77,2.14,0,0,0.31,0
2023,80.96,7.45,8,3.26,0,0,0.32,0.01
