"Date","Android","iOS","Series 40","SymbianOS","Samsung","Windows","Unknown","Nokia Unknown","BlackBerry OS","bada","Linux","Sony Ericsson","LG","MeeGo","webOS","Other"
2012,36.39,25.99,9.54,15.49,5.37,1.01,3.17,0,0.56,1.32,0.12,0.8,0.06,0.05,0.03,0.12
2013,48.95,22.25,8.22,9.22,6.52,1.1,2,0.06,0.39,0.49,0.13,0.36,0.1,0.07,0.09,0.05
2014,65.22,20.08,4.41,3.65,2.79,1.95,0.71,0.29,0.33,0.16,0.15,0.14,0.08,0.03,0.02,0.01
2015,72.78,17.9,2.9,1.61,1.47,1.94,0.29,0.54,0.21,0.09,0.12,0.06,0.04,0.01,0,0.01
2016,77.58,18.84,0.54,0.26,0.2,1.5,0.18,0.5,0.13,0.03,0.18,0.01,0.03,0.01,0,0.01
2017,81.15,17.01,0.2,0.1,0.14,1.02,0.06,0.19,0.07,0,0.04,0.01,0,0,0,0.01
2018,82.64,16.41,0.07,0.02,0.12,0.51,0.01,0.13,0.02,0,0.04,0.01,0,0,0,0.01
2019,84.32,15.11,0.06,0.01,0.13,0.26,0,0.07,0.02,0,0.02,0,0,0,0,0
2020,85,14.8,0.01,0,0.11,0.06,0,0.01,0,0,0.01,0,0,0,0,0
2021,83.44,16.26,0,0,0.27,0.01,0,0.01,0,0,0,0,0,0,0,0
2022,75.34,24.27,0,0.01,0.37,0,0,0.01,0,0,0,0,0,0,0,0
2023,75.04,24.36,0,0,0.53,0.03,0,0,0.01,0,0.01,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
