"Date","Windows","OS X","Unknown","Linux","Chrome OS","Android","Other"
2013,79.95,18.78,0.02,0.84,0.03,0.38,0
2014,73.67,23.94,0.53,1.35,0.37,0.14,0
2015,71.36,25.88,1.46,0.67,0.63,0,0
2016,62.95,32.91,3.08,0.84,0.22,0,0
2017,56.04,41.36,1.39,1.08,0.12,0,0.01
2018,56.46,38.41,2.81,2.16,0.15,0,0
2019,56.19,39.53,3.12,0.92,0.24,0,0.01
2020,54.32,43.29,1.08,0.68,0.64,0,0
2021,53.76,38.5,6.06,0.58,1.1,0,0
2022,45.15,52.28,1.63,0.31,0.62,0,0
2023,39.28,56.61,2.96,0.7,0.45,0,0
2009,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0
