"Date","iOS","Android","BlackBerry OS","Windows","Linux","Samsung","Playstation","Series 40","Unknown","Nokia Unknown","Nintendo 3DS","Firefox OS","Other"
2013,60.74,24.14,11.13,0.79,1.25,0.9,0.34,0.15,0.09,0,0.06,0,0.41
2014,56.6,38.34,3.09,0.79,0.53,0,0.14,0.4,0.01,0.01,0.03,0,0.06
2015,53.35,43.6,1.03,0.74,0.37,0,0.61,0.03,0.08,0.09,0.07,0,0.01
2016,51.33,46.22,1.1,0.82,0.07,0.06,0.24,0.01,0.02,0.06,0.01,0.07,0
2017,52.63,46.61,0.06,0.4,0.02,0.14,0.04,0,0.01,0,0.01,0.08,0.01
2018,42.19,57.38,0.01,0.17,0.09,0.1,0.06,0,0.01,0,0,0,0
2019,36.63,63.3,0,0.03,0,0.03,0,0,0,0,0,0,0
2020,46.58,53.29,0,0.01,0,0.12,0,0,0,0,0,0,0
2021,56.07,43.49,0,0.01,0,0.43,0,0,0,0,0,0,0
2022,66.39,33.34,0,0,0,0.27,0,0,0,0,0,0,0.01
2023,67.72,31.88,0,0,0,0.39,0.01,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0
