"Date","Windows","Unknown","OS X","Linux","iOS","Chrome OS","Android","Other"
2009,94.24,0.25,2.64,2.71,0,0,0,0.15
2010,94.41,0.16,3.22,2.13,0.05,0,0,0.03
2011,94.42,0.11,3.44,1.66,0.32,0,0.05,0.01
2012,93.47,0.06,3.81,2.12,0.44,0,0.1,0.02
2013,93.92,0.07,4.09,1.75,0,0,0.16,0.02
2014,93.78,0.94,3.53,1.69,0,0.03,0.02,0
2015,91.64,1.71,4.61,2,0,0.04,0,0
2016,88.97,3.83,5.29,1.85,0,0.05,0,0
2017,84.19,7.41,6.54,1.79,0,0.06,0,0.01
2018,80.92,10.18,7.07,1.78,0,0.05,0,0
2019,79.42,11.59,7.22,1.73,0,0.04,0,0
2020,81.15,7.05,9.09,2.64,0,0.06,0,0.01
2021,80.67,10.91,4.59,3.77,0,0.06,0,0
2022,64.84,28.7,3,3.36,0,0.1,0,0
2023,79.92,14.47,3.06,2.36,0,0.19,0,0
