"Date","Android","iOS","Windows","Linux","SymbianOS","Samsung","Unknown","BlackBerry OS","Playstation","Nokia Unknown","Series 40","Other"
2012,25.49,55.74,0.02,0.02,15.86,0.64,1.1,0.06,0,0,0.67,0.4
2013,26.53,64.86,0.88,1.96,1.55,2.19,0.14,1.13,0.13,0,0.32,0.31
2014,38.52,57.61,0.76,2.13,0.07,0.11,0.2,0.05,0.16,0,0.32,0.07
2015,41.7,53.73,1.4,2.25,0.05,0.01,0.15,0.11,0.15,0.31,0.12,0.03
2016,49.36,47.74,1.85,0.3,0.1,0,0.2,0.09,0.14,0.18,0,0.03
2017,53.63,44.8,1.06,0.06,0,0,0.15,0.07,0.17,0.07,0,0
2018,50.5,48.97,0.43,0.02,0.04,0,0.02,0.01,0.01,0,0,0
2019,61.62,37.87,0.34,0.01,0,0,0.04,0.12,0,0,0,0
2020,60.44,39.38,0.02,0.1,0,0.04,0,0,0.02,0,0,0
2021,69.03,30.89,0,0,0,0.08,0,0,0,0,0,0
2022,84.19,15.63,0,0.01,0,0.16,0,0,0,0,0,0
2023,69.61,30.31,0.01,0,0,0.03,0.03,0,0,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0
