"Date","Windows","Linux","OS X","Unknown","Android","iOS","Chrome OS","Other"
2009,98.78,0.99,0.14,0.08,0,0,0,0
2010,97.38,2.15,0.42,0.03,0,0.02,0,0.01
2011,97.13,2.24,0.51,0.03,0.01,0.08,0,0
2012,97.47,1.63,0.68,0.03,0.04,0.15,0,0.01
2013,97.33,1.56,0.88,0.01,0.22,0,0,0
2014,96.28,1.85,1.22,0.53,0.1,0,0.01,0
2015,94.95,2.01,1.46,1.56,0,0,0.02,0
2016,92.99,2.05,1.52,3.42,0,0,0.02,0.01
2017,93.46,2.65,2.18,1.67,0,0,0.04,0
2018,92.02,1.66,2.78,3.46,0,0,0.07,0
2019,86.52,2.93,6.75,3.76,0,0,0.05,0
2020,90.86,1.44,4.97,2.69,0,0,0.04,0
2021,89.75,1.58,3.78,4.81,0,0,0.09,0
2022,90.13,1.85,3.66,4.18,0,0,0.15,0.03
2023,87.31,1.87,3.78,6.86,0,0,0.16,0.02
